date_hour,demand,temperature
2014-01-05T18,3.849,19.4
2014-01-05T19,3.813,19.25
2014-01-05T20,3.891,18.55
2014-01-05T21,3.683,17.7
2014-01-05T22,3.562,16.75
2014-01-05T23,3.936,15.8
2014-01-06T00,3.602,14.9
2014-01-06T01,3.271,14.05
2014-01-06T02,3.085,14.1
2014-01-06T03,3.041,13.5
2014-01-06T04,3.201,13
2014-01-06T05,3.57,12.95
2014-01-06T06,4.123,13.3
2014-01-06T07,4.307,13.9
2014-01-06T08,4.481,15.4
2014-01-06T09,4.533,16.75
2014-01-06T10,4.545,17.3
2014-01-06T11,4.524,17.75
2014-01-06T12,4.47,18.4
2014-01-06T13,4.457,18.5
2014-01-06T14,4.418,18.8
2014-01-06T15,4.453,19.45
2014-01-06T16,4.539,18.75
2014-01-06T17,4.473,18.4
2014-01-06T18,4.301,16.95
2014-01-06T19,4.26,15.8
2014-01-06T20,4.276,15.35
2014-01-06T21,3.958,15.25
2014-01-06T22,3.796,15.15
2014-01-06T23,4.18,14.9
2014-01-07T00,3.843,14.5
2014-01-07T01,3.465,14.6
2014-01-07T02,3.246,14.4
2014-01-07T03,3.203,14.15
2014-01-07T04,3.36,14.3
2014-01-07T05,3.808,14.5
2014-01-07T06,4.328,14.95
2014-01-07T07,4.509,15.55
2014-01-07T08,4.598,15.8
2014-01-07T09,4.562,15.55
2014-01-07T10,4.566,16.45
2014-01-07T11,4.532,17.5
2014-01-07T12,4.477,17.7
2014-01-07T13,4.442,18.75
2014-01-07T14,4.424,19.6
2014-01-07T15,4.486,19.9
2014-01-07T16,4.579,19.35
2014-01-07T17,4.466,19.55
2014-01-07T18,4.338,17.9
2014-01-07T19,4.27,16.4
2014-01-07T20,4.296,15.55
2014-01-07T21,4.034,14.9
2014-01-07T22,3.877,14.4
2014-01-07T23,4.246,13.95
2014-01-08T00,3.883,13.3
2014-01-08T01,3.52,12.95
2014-01-08T02,3.306,12.65
2014-01-08T03,3.252,12.45
2014-01-08T04,3.387,12.35
2014-01-08T05,3.784,12.15
2014-01-08T06,4.335,11.95
2014-01-08T07,4.465,14.15
2014-01-08T08,4.529,15.85
2014-01-08T09,4.536,17.75
2014-01-08T10,4.589,19.45
2014-01-08T11,4.66,22.15
2014-01-08T12,4.691,23.85
2014-01-08T13,4.747,23.45
2014-01-08T14,4.819,24.95
2014-01-08T15,4.95,26.85
2014-01-08T16,4.994,26.1
2014-01-08T17,4.798,25.15
2014-01-08T18,4.54,23.25
2014-01-08T19,4.352,21.3
2014-01-08T20,4.37,19.85
2014-01-08T21,4.047,18.9
2014-01-08T22,3.87,18.25
2014-01-08T23,4.245,17.45
2014-01-09T00,3.848,17.1
2014-01-09T01,3.509,16.4
2014-01-09T02,3.302,15.55
2014-01-09T03,3.258,15.05
2014-01-09T04,3.419,14.4
2014-01-09T05,3.809,14.55
2014-01-09T06,4.363,15.15
2014-01-09T07,4.605,17.05
2014-01-09T08,4.793,18.85
2014-01-09T09,4.908,20.85
2014-01-09T10,5.04,24.25
2014-01-09T11,5.204,27.7
2014-01-09T12,5.358,28.4
2014-01-09T13,5.538,30.75
2014-01-09T14,5.708,30.7
2014-01-09T15,5.888,32.2
2014-01-09T16,5.966,31.75
2014-01-09T17,5.817,30.65
2014-01-09T18,5.571,29.75
2014-01-09T19,5.321,28.85
2014-01-09T20,5.141,27.85
2014-01-09T21,4.686,25.95
2014-01-09T22,4.367,24.7
2014-01-09T23,4.618,24.85
2014-01-10T00,4.158,24.05
2014-01-10T01,3.771,23.85
2014-01-10T02,3.555,23.5
2014-01-10T03,3.497,22.95
2014-01-10T04,3.646,22.2
2014-01-10T05,4.053,21.75
2014-01-10T06,4.687,22.35
2014-01-10T07,5.052,24.05
2014-01-10T08,5.342,25.15
2014-01-10T09,5.586,27.1
2014-01-10T10,5.808,28.05
2014-01-10T11,6.038,29.75
2014-01-10T12,6.296,31.25
2014-01-10T13,6.548,31.9
2014-01-10T14,6.787,32.95
2014-01-10T15,6.982,33.15
2014-01-10T16,7.035,33.95
2014-01-10T17,6.855,33.85
2014-01-10T18,6.561,33.25
2014-01-10T19,6.181,32.5
2014-01-10T20,5.899,31.5
2014-01-10T21,5.304,28.3
2014-01-10T22,4.795,23.9
2014-01-10T23,4.862,22.9
2014-01-11T00,4.264,22.3
2014-01-11T01,3.82,21.25
2014-01-11T02,3.588,20.5
2014-01-11T03,3.481,19.85
2014-01-11T04,3.514,18.85
2014-01-11T05,3.632,18.3
2014-01-11T06,3.857,18.1
2014-01-11T07,4.116,18.2
2014-01-11T08,4.375,18.15
2014-01-11T09,4.462,18
2014-01-11T10,4.46,17.7
2014-01-11T11,4.422,18.25
2014-01-11T12,4.398,19.7
2014-01-11T13,4.407,20.75
2014-01-11T14,4.48,21.8
2014-01-11T15,4.621,21.5
2014-01-11T16,4.732,21.6
2014-01-11T17,4.735,20.8
2014-01-11T18,4.572,19.4
2014-01-11T19,4.385,18.4
2014-01-11T20,4.323,17.9
2014-01-11T21,4.069,17.6
2014-01-11T22,3.94,17.55
2014-01-11T23,4.247,17.55
2014-01-12T00,3.821,17.65
2014-01-12T01,3.416,17.4
2014-01-12T02,3.22,17.15
2014-01-12T03,3.124,16.8
2014-01-12T04,3.132,17
2014-01-12T05,3.181,16.9
2014-01-12T06,3.337,17.2
2014-01-12T07,3.469,17.35
2014-01-12T08,3.668,17.65
2014-01-12T09,3.788,17.8
2014-01-12T10,3.834,18.4
2014-01-12T11,3.894,19.3
2014-01-12T12,3.964,20.2
2014-01-12T13,4.109,21.05
2014-01-12T14,4.275,21.7
2014-01-12T15,4.472,21.8
2014-01-12T16,4.623,21.8
2014-01-12T17,4.703,21.5
2014-01-12T18,4.594,20
2014-01-12T19,4.447,19.3
2014-01-12T20,4.459,18.2
2014-01-12T21,4.137,18.1
2014-01-12T22,3.913,17.7
2014-01-12T23,4.231,16.95
2014-01-13T00,3.833,16.25
2014-01-13T01,3.475,15.6
2014-01-13T02,3.302,15.5
2014-01-13T03,3.279,15.3
2014-01-13T04,3.519,15.45
2014-01-13T05,3.975,15.5
2014-01-13T06,4.6,15.75
2014-01-13T07,4.864,17.35
2014-01-13T08,5.104,19.15
2014-01-13T09,5.308,21.65
2014-01-13T10,5.542,24.7
2014-01-13T11,5.759,25.2
2014-01-13T12,6.005,24.3
2014-01-13T13,6.285,26.9
2014-01-13T14,6.617,28.1
2014-01-13T15,6.993,29.45
2014-01-13T16,7.207,29.85
2014-01-13T17,7.095,29.45
2014-01-13T18,6.839,26.35
2014-01-13T19,6.387,27.05
2014-01-13T20,6.048,25.7
2014-01-13T21,5.433,25.15
2014-01-13T22,4.904,23.85
2014-01-13T23,4.959,22.45
2014-01-14T00,4.425,21.45
2014-01-14T01,4.053,20.85
2014-01-14T02,3.843,20.7
2014-01-14T03,3.823,21.3
2014-01-14T04,4.017,21.55
2014-01-14T05,4.521,20.8
2014-01-14T06,5.229,22.3
2014-01-14T07,5.802,26.3
2014-01-14T08,6.449,32.6
2014-01-14T09,6.975,35.15
2014-01-14T10,7.506,36.8
2014-01-14T11,7.973,38.15
2014-01-14T12,8.359,39.95
2014-01-14T13,8.596,40.85
2014-01-14T14,8.794,41.25
2014-01-14T15,9.03,42.3
2014-01-14T16,9.09,41.95
2014-01-14T17,8.885,41.35
2014-01-14T18,8.525,40.6
2014-01-14T19,8.147,36.35
2014-01-14T20,7.797,36.15
2014-01-14T21,6.938,34.6
2014-01-14T22,6.215,34.05
2014-01-14T23,6.123,35.4
2014-01-15T00,5.495,36.3
2014-01-15T01,5.14,35.55
2014-01-15T02,4.896,33.7
2014-01-15T03,4.812,30.65
2014-01-15T04,5.024,29.45
2014-01-15T05,5.536,29.5
2014-01-15T06,6.293,31
2014-01-15T07,7,33.3
2014-01-15T08,7.633,35.7
2014-01-15T09,8.03,36.65
2014-01-15T10,8.459,37.65
2014-01-15T11,8.768,39.4
2014-01-15T12,9,40.6
2014-01-15T13,9.113,40.25
2014-01-15T14,9.155,37.55
2014-01-15T15,9.173,37.3
2014-01-15T16,9.039,35.4
2014-01-15T17,8.606,32.75
2014-01-15T18,8.095,31.2
2014-01-15T19,7.617,29.6
2014-01-15T20,7.208,28.35
2014-01-15T21,6.448,27.5
2014-01-15T22,5.74,28.75
2014-01-15T23,5.718,28.9
2014-01-16T00,5.106,29.9
2014-01-16T01,4.763,28.7
2014-01-16T02,4.61,28.65
2014-01-16T03,4.566,28.15
2014-01-16T04,4.737,28.25
2014-01-16T05,5.204,27.65
2014-01-16T06,5.988,27.8
2014-01-16T07,6.698,29.45
2014-01-16T08,7.438,32.5
2014-01-16T09,8.04,35.75
2014-01-16T10,8.484,38.85
2014-01-16T11,8.837,39.9
2014-01-16T12,9.052,41.1
2014-01-16T13,9.114,41.8
2014-01-16T14,9.214,42.75
2014-01-16T15,9.307,39.9
2014-01-16T16,9.313,39.75
2014-01-16T17,9.006,40.8
2014-01-16T18,8.556,37.95
2014-01-16T19,8.275,31.25
2014-01-16T20,7.911,34.6
2014-01-16T21,7.077,30.25
2014-01-16T22,6.348,28.5
2014-01-16T23,6.175,27.9
2014-01-17T00,5.455,27.95
2014-01-17T01,5.041,27.3
2014-01-17T02,4.759,26.9
2014-01-17T03,4.683,26.8
2014-01-17T04,4.908,26.05
2014-01-17T05,5.411,26.1
2014-01-17T06,6.199,27.7
2014-01-17T07,6.923,31.85
2014-01-17T08,7.593,34.85
2014-01-17T09,8.09,36.35
2014-01-17T10,8.497,38
2014-01-17T11,8.843,39.2
2014-01-17T12,9.058,41.05
2014-01-17T13,9.159,41.6
2014-01-17T14,9.231,42.35
2014-01-17T15,9.253,43.1
2014-01-17T16,8.852,33.5
2014-01-17T17,7.994,30.7
2014-01-17T18,7.388,29.1
2014-01-17T19,6.735,26.4
2014-01-17T20,6.264,23.9
2014-01-17T21,5.69,24.7
2014-01-17T22,5.227,24.35
2014-01-17T23,5.22,23.45
2014-01-18T00,4.593,23.45
2014-01-18T01,4.213,23.55
2014-01-18T02,3.984,23.05
2014-01-18T03,3.891,22.2
2014-01-18T04,3.919,22.1
2014-01-18T05,4.031,22
2014-01-18T06,4.287,21.9
2014-01-18T07,4.558,22.05
2014-01-18T08,4.872,22.55
2014-01-18T09,4.963,22.85
2014-01-18T10,5.004,22.45
2014-01-18T11,5.017,22.25
2014-01-18T12,5.057,22.65
2014-01-18T13,5.064,22.35
2014-01-18T14,5,21.9
2014-01-18T15,5.023,21
2014-01-18T16,5.007,20.95
2014-01-18T17,4.923,20.2
2014-01-18T18,4.74,19.7
2014-01-18T19,4.586,19.4
2014-01-18T20,4.517,19.2
2014-01-18T21,4.236,18.65
2014-01-18T22,4.055,18.15
2014-01-18T23,4.337,18.15
2014-01-19T00,3.848,17.65
2014-01-19T01,3.473,17.35
2014-01-19T02,3.273,17.15
2014-01-19T03,3.198,16.8
2014-01-19T04,3.204,16.75
2014-01-19T05,3.252,16.4
2014-01-19T06,3.404,16.5
2014-01-19T07,3.56,16.7
2014-01-19T08,3.767,17.3
2014-01-19T09,3.896,17.75
2014-01-19T10,3.934,19.2
2014-01-19T11,3.972,20.4
2014-01-19T12,3.985,20.9
2014-01-19T13,4.032,21.45
2014-01-19T14,4.122,22
2014-01-19T15,4.239,22.1
2014-01-19T16,4.389,21.6
2014-01-19T17,4.499,21.7
2014-01-19T18,4.406,20.5
2014-01-19T19,4.356,19.85
2014-01-19T20,4.396,19.75
2014-01-19T21,4.106,19.5
2014-01-19T22,3.914,19.2
2014-01-19T23,4.265,19.8
2014-01-20T00,3.862,19.5
2014-01-20T01,3.546,19.2
2014-01-20T02,3.36,19.2
2014-01-20T03,3.359,19.15
2014-01-20T04,3.649,19.05
2014-01-20T05,4.18,19.1
2014-01-20T06,4.813,19.25
2014-01-20T07,5.086,19.55
2014-01-20T08,5.301,20.2
2014-01-20T09,5.384,20.55
2014-01-20T10,5.434,21.45
2014-01-20T11,5.47,23.15
2014-01-20T12,5.529,23.5
2014-01-20T13,5.582,23.4
2014-01-20T14,5.618,23.5
2014-01-20T15,5.636,23.3
2014-01-20T16,5.561,22.85
2014-01-20T17,5.291,22.25
2014-01-20T18,5,20.95
2014-01-20T19,4.84,19.75
2014-01-20T20,4.767,19.45
2014-01-20T21,4.364,18.9
2014-01-20T22,4.16,18.45
2014-01-20T23,4.452,17.95
2014-01-21T00,4.011,17.55
2014-01-21T01,3.673,17.3
2014-01-21T02,3.503,16.95
2014-01-21T03,3.483,16.9
2014-01-21T04,3.695,16.85
2014-01-21T05,4.213,17.1
2014-01-21T06,4.81,17.25
2014-01-21T07,5.028,17.4
2014-01-21T08,5.149,17.85
2014-01-21T09,5.182,18.1
2014-01-21T10,5.208,18.6
2014-01-21T11,5.179,19.7
2014-01-21T12,5.19,21
2014-01-21T13,5.22,21.4
2014-01-21T14,5.202,22.65
2014-01-21T15,5.216,22.55
2014-01-21T16,5.232,22
2014-01-21T17,5.019,21.05
2014-01-21T18,4.828,19.55
2014-01-21T19,4.686,18.55
2014-01-21T20,4.657,18.3
2014-01-21T21,4.304,17.75
2014-01-21T22,4.106,17.8
2014-01-21T23,4.389,17.65
2014-01-22T00,3.955,17.8
2014-01-22T01,3.643,17.45
2014-01-22T02,3.489,16.95
2014-01-22T03,3.479,16.5
2014-01-22T04,3.695,16.9
2014-01-22T05,4.187,17.05
2014-01-22T06,4.732,16.75
2014-01-22T07,4.898,17.3
2014-01-22T08,4.997,18.8
2014-01-22T09,5.001,19.35
2014-01-22T10,5.022,20.75
2014-01-22T11,5.052,21.4
2014-01-22T12,5.094,21.9
2014-01-22T13,5.143,21.95
2014-01-22T14,5.178,22.8
2014-01-22T15,5.25,22.75
2014-01-22T16,5.255,23.2
2014-01-22T17,5.075,22.65
2014-01-22T18,4.867,20.8
2014-01-22T19,4.691,19.25
2014-01-22T20,4.665,17.8
2014-01-22T21,4.352,16.95
2014-01-22T22,4.121,16.55
2014-01-22T23,4.391,16.05
2014-01-23T00,3.966,15.75
2014-01-23T01,3.615,15.15
2014-01-23T02,3.437,14.7
2014-01-23T03,3.43,14.15
2014-01-23T04,3.666,13.9
2014-01-23T05,4.149,13.9
2014-01-23T06,4.674,14
2014-01-23T07,4.851,15.8
2014-01-23T08,5.011,17.65
2014-01-23T09,5.105,19.7
2014-01-23T10,5.242,22.5
2014-01-23T11,5.378,25.3
2014-01-23T12,5.576,24.3
2014-01-23T13,5.79,24.65
2014-01-23T14,6.03,26.45
2014-01-23T15,6.254,27.25
2014-01-23T16,6.34,26.55
2014-01-23T17,6.253,28.8
2014-01-23T18,6.039,27.85
2014-01-23T19,5.736,25.2
2014-01-23T20,5.49,24.75
2014-01-23T21,4.936,23.75
2014-01-23T22,4.58,22.55
2014-01-23T23,4.742,22.35
2014-01-24T00,4.23,21.7
2014-01-24T01,3.895,21.3
2014-01-24T02,3.712,20.3
2014-01-24T03,3.7,20.05
2014-01-24T04,3.906,20.5
2014-01-24T05,4.364,21.25
2014-01-24T06,4.962,20.85
2014-01-24T07,5.261,21
2014-01-24T08,5.463,19.4
2014-01-24T09,5.495,18.9
2014-01-24T10,5.477,18.15
2014-01-24T11,5.394,18.65
2014-01-24T12,5.25,20.2
2014-01-24T13,5.159,20
2014-01-24T14,5.081,21.65
2014-01-24T15,5.083,21.95
2014-01-24T16,5.038,21.15
2014-01-24T17,4.857,20.4
2014-01-24T18,4.643,19.5
2014-01-24T19,4.526,19.15
2014-01-24T20,4.428,18.4
2014-01-24T21,4.141,18.05
2014-01-24T22,3.975,17.75
2014-01-24T23,4.29,17.6
2014-01-25T00,3.809,17.15
2014-01-25T01,3.423,16.75
2014-01-25T02,3.217,16.35
2014-01-25T03,3.132,16.25
2014-01-25T04,3.192,15.9
2014-01-25T05,3.343,15.85
2014-01-25T06,3.606,15.9
2014-01-25T07,3.803,16.2
2014-01-25T08,3.963,18.5
2014-01-25T09,3.998,18.75
2014-01-25T10,3.962,18.8
2014-01-25T11,3.894,19.85
2014-01-25T12,3.814,19.75
2014-01-25T13,3.776,19.6
2014-01-25T14,3.808,19.3
2014-01-25T15,3.914,20
2014-01-25T16,4.033,20.25
2014-01-25T17,4.079,19.7
2014-01-25T18,4.027,18.6
2014-01-25T19,3.974,17.4
2014-01-25T20,4.057,17.1
2014-01-25T21,3.859,16.65
2014-01-25T22,3.759,16.25
2014-01-25T23,4.132,16.25
2014-01-26T00,3.716,15.8
2014-01-26T01,3.325,15.35
2014-01-26T02,3.111,14.8
2014-01-26T03,3.03,14.25
2014-01-26T04,3.046,13.5
2014-01-26T05,3.096,13.4
2014-01-26T06,3.254,14.35
2014-01-26T07,3.39,15.8
2014-01-26T08,3.606,17.7
2014-01-26T09,3.718,19
2014-01-26T10,3.755,21.05
2014-01-26T11,3.768,22.2
2014-01-26T12,3.768,22.45
2014-01-26T13,3.834,24.95
2014-01-26T14,3.957,24.75
2014-01-26T15,4.199,25.05
2014-01-26T16,4.393,26.4
2014-01-26T17,4.532,26.2
2014-01-26T18,4.516,26.5
2014-01-26T19,4.38,25.85
2014-01-26T20,4.39,24.4
2014-01-26T21,4.142,23.6
2014-01-26T22,3.954,22.65
2014-01-26T23,4.233,21.5
2014-01-27T00,3.795,20.15
2014-01-27T01,3.425,19.9
2014-01-27T02,3.209,18.85
2014-01-27T03,3.124,18.7
2014-01-27T04,3.177,18.75
2014-01-27T05,3.288,18.65
2014-01-27T06,3.498,20.05
2014-01-27T07,3.715,23.45
2014-01-27T08,4.092,24.9
2014-01-27T09,4.383,26.45
2014-01-27T10,4.644,28.55
2014-01-27T11,4.909,30.6
2014-01-27T12,5.184,31.55
2014-01-27T13,5.518,32.8
2014-01-27T14,5.889,33.5
2014-01-27T15,6.288,33.7
2014-01-27T16,6.643,34.45
2014-01-27T17,6.729,34.2
2014-01-27T18,6.567,33.65
2014-01-27T19,6.179,32.9
2014-01-27T20,5.903,31.75
2014-01-27T21,5.278,30.5
2014-01-27T22,4.788,29.25
2014-01-27T23,4.885,28.1
2014-01-28T00,4.363,26.45
2014-01-28T01,4.011,25.4
2014-01-28T02,3.823,25.4
2014-01-28T03,3.762,25.15
2014-01-28T04,3.998,25.4
2014-01-28T05,4.598,25.1
2014-01-28T06,5.349,25.95
2014-01-28T07,5.898,28.1
2014-01-28T08,6.487,30.4
2014-01-28T09,6.941,32
2014-01-28T10,7.381,33.75
2014-01-28T11,7.796,34.7
2014-01-28T12,8.185,35.8
2014-01-28T13,8.522,37
2014-01-28T14,8.825,39.05
2014-01-28T15,9.103,39.75
2014-01-28T16,9.198,41.2
2014-01-28T17,8.889,41.05
2014-01-28T18,8.174,36.05
2014-01-28T19,7.214,28.25
2014-01-28T20,6.481,24.45
2014-01-28T21,5.611,23.15
2014-01-28T22,5.026,22.05
2014-01-28T23,5.052,21.6
2014-01-29T00,4.484,21.45
2014-01-29T01,4.148,20.8
2014-01-29T02,3.955,20.25
2014-01-29T03,3.873,19.7
2014-01-29T04,4.06,19.4
2014-01-29T05,4.626,19.65
2014-01-29T06,5.272,19.1
2014-01-29T07,5.441,18.65
2014-01-29T08,5.535,18.9
2014-01-29T09,5.534,19.4
2014-01-29T10,5.61,20.7
2014-01-29T11,5.671,21.75
2014-01-29T12,5.724,22.35
2014-01-29T13,5.793,24.1
2014-01-29T14,5.838,23.35
2014-01-29T15,5.908,24.4
2014-01-29T16,5.868,22.95
2014-01-29T17,5.574,22.4
2014-01-29T18,5.276,20.95
2014-01-29T19,5.065,19.6
2014-01-29T20,4.976,18.9
2014-01-29T21,4.554,18
2014-01-29T22,4.282,17.4
2014-01-29T23,4.547,16.8
2014-01-30T00,4.053,16.55
2014-01-30T01,3.72,16.3
2014-01-30T02,3.536,16.25
2014-01-30T03,3.524,16.75
2014-01-30T04,3.792,16.7
2014-01-30T05,4.42,17.1
2014-01-30T06,5.075,17.5
2014-01-30T07,5.208,18.15
2014-01-30T08,5.344,18.85
2014-01-30T09,5.482,20.65
2014-01-30T10,5.701,22.6
2014-01-30T11,5.936,25.6
2014-01-30T12,6.21,28.5
2014-01-30T13,6.462,26.75
2014-01-30T14,6.683,27.2
2014-01-30T15,6.979,27.3
2014-01-30T16,7.059,27.5
2014-01-30T17,6.893,27
2014-01-30T18,6.535,25.45
2014-01-30T19,6.121,24.5
2014-01-30T20,5.797,23.85
2014-01-30T21,5.152,23.2
2014-01-30T22,4.705,22.55
2014-01-30T23,4.805,21.85
2014-01-31T00,4.272,21.05
2014-01-31T01,3.975,20.2
2014-01-31T02,3.805,19.95
2014-01-31T03,3.775,20.4
2014-01-31T04,3.996,20.3
2014-01-31T05,4.535,20.1
2014-01-31T06,5.275,20.45
2014-01-31T07,5.509,20.9
2014-01-31T08,5.73,21.45
2014-01-31T09,5.87,21.8
2014-01-31T10,6.034,23.25
2014-01-31T11,6.175,24.1
2014-01-31T12,6.34,25.2
2014-01-31T13,6.5,25.55
2014-01-31T14,6.603,25.9
2014-01-31T15,6.804,25.45
2014-01-31T16,6.787,26.05
2014-01-31T17,6.46,25.35
2014-01-31T18,6.043,23.9
2014-01-31T19,5.627,22.25
2014-01-31T20,5.367,22
2014-01-31T21,4.866,21.7
2014-01-31T22,4.575,21.45
2014-01-31T23,4.728,20.55
2014-02-01T00,4.157,19
2014-02-01T01,3.795,18.85
2014-02-01T02,3.607,18.7
2014-02-01T03,3.537,19.05
2014-02-01T04,3.596,19.35
2014-02-01T05,3.803,19.35
2014-02-01T06,4.125,19.45
2014-02-01T07,4.398,19.6
2014-02-01T08,4.66,20.55
2014-02-01T09,4.853,22.4
2014-02-01T10,5.115,24.55
2014-02-01T11,5.412,26.9
2014-02-01T12,5.669,27.95
2014-02-01T13,5.93,28.5
2014-02-01T14,6.216,28.2
2014-02-01T15,6.466,29.05
2014-02-01T16,6.641,28.7
2014-02-01T17,6.605,28.8
2014-02-01T18,6.316,27.15
2014-02-01T19,5.821,24.9
2014-02-01T20,5.52,23.5
2014-02-01T21,5.016,23.35
2014-02-01T22,4.657,23
2014-02-01T23,4.746,22.3
2014-02-02T00,4.197,21.4
2014-02-02T01,3.823,20.7
2014-02-02T02,3.613,19.85
2014-02-02T03,3.505,19.4
2014-02-02T04,3.488,19.25
2014-02-02T05,3.532,18.7
2014-02-02T06,3.716,18.65
2014-02-02T07,4.011,20.2
2014-02-02T08,4.421,23.4
2014-02-02T09,4.836,26.4
2014-02-02T10,5.296,27.45
2014-02-02T11,5.766,29.15
2014-02-02T12,6.233,32.05
2014-02-02T13,6.646,34.5
2014-02-02T14,7.011,34.95
2014-02-02T15,7.38,36.55
2014-02-02T16,7.66,37.85
2014-02-02T17,7.804,38.4
2014-02-02T18,7.691,35.15
2014-02-02T19,7.364,34.05
2014-02-02T20,7.019,34.1
2014-02-02T21,6.26,33.1
2014-02-02T22,5.545,30.3
2014-02-02T23,5.437,29.3
2014-02-03T00,4.806,27.55
2014-02-03T01,4.457,26.6
2014-02-03T02,4.235,25.9
2014-02-03T03,4.172,25.5
2014-02-03T04,4.396,25.15
2014-02-03T05,5.002,25
2014-02-03T06,5.817,25.15
2014-02-03T07,6.266,27
2014-02-03T08,6.732,31.15
2014-02-03T09,7.049,32.75
2014-02-03T10,7.184,31.5
2014-02-03T11,7.085,26.9
2014-02-03T12,6.798,23.9
2014-02-03T13,6.632,23.15
2014-02-03T14,6.408,22.85
2014-02-03T15,6.218,21.5
2014-02-03T16,5.968,21.15
2014-02-03T17,5.544,21.3
2014-02-03T18,5.217,19.7
2014-02-03T19,4.964,18.8
2014-02-03T20,4.758,18.45
2014-02-03T21,4.328,18.3
2014-02-03T22,4.074,17.8
2014-02-03T23,4.367,16.85
2014-02-04T00,3.883,16.4
2014-02-04T01,3.536,16.15
2014-02-04T02,3.404,15.7
2014-02-04T03,3.396,15.5
2014-02-04T04,3.624,15.4
2014-02-04T05,4.271,15.3
2014-02-04T06,4.916,15.05
2014-02-04T07,4.953,15.65
2014-02-04T08,5.016,18.1
2014-02-04T09,5.048,19.2
